hora,ruta,info_ruta
6:55 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 6:55 a. m., Llegada Silletero: 7:37 a. m., Llegada El Tambo: 8:38 a. m."
7:33 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 7:33 a. m., Llegada Silletero: 8:08 a. m., Llegada El Tambo: 9:09 a. m."
7:53 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 7:53 a. m., Llegada Silletero: 8:33 a. m., Llegada El Tambo: 9:34 a. m."
8:17 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 8:17 a. m., Llegada Silletero: 8:57 a. m., Llegada El Tambo: 9:58 a. m."
8:41 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 8:41 a. m., Llegada Silletero: 9:21 a. m., Llegada El Tambo: 10:22 a. m."
9:05 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 9:05 a. m., Llegada Silletero: 9:45 a. m., Llegada El Tambo: 10:46 a. m."
9:37 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 9:37 a. m., Llegada Silletero: 10:17 a. m., Llegada El Tambo: 11:18 a. m."
10:09 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 10:09 a. m., Llegada Silletero: 10:49 a. m., Llegada El Tambo: 11:50 a. m."
10:35 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 10:35 a. m., Llegada Silletero: 11:15 a. m., Llegada El Tambo: 12:16 p. m."
11:05 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 11:05 a. m., Llegada Silletero: 11:45 a. m., Llegada El Tambo: 12:46 p. m."
11:35 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 11:35 a. m., Llegada Silletero: 12:15 p. m., Llegada El Tambo: 1:16 p. m."
12:05 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 12:05 p. m., Llegada Silletero: 12:45 p. m., Llegada El Tambo: 1:46 p. m."
12:35 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 12:35 p. m., Llegada Silletero: 1:15 p. m., Llegada El Tambo: 2:16 p. m."
1:53 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 1:53 p. m., Llegada Silletero: 2:33 p. m., Llegada El Tambo: 3:34 p. m."
2:25 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 2:25 p. m., Llegada Silletero: 3:05 p. m., Llegada El Tambo: 4:06 p. m."
2:57 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 2:57 p. m., Llegada Silletero: 3:37 p. m., Llegada El Tambo: 4:38 p. m."
3:21 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 3:21 p. m., Llegada Silletero: 4:01 p. m., Llegada El Tambo: 5:02 p. m."
3:53 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 3:53 p. m., Llegada Silletero: 4:33 p. m., Llegada El Tambo: 5:34 p. m."
4:54 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 4:54 p. m., Llegada Silletero: 5:29 p. m., Llegada El Tambo: 6:30 p. m."
6:54 p. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 6:54 p. m., Llegada Silletero: 7:29 p. m., Llegada El Tambo: 8:30 p. m."
5:10 a. m.,vereda-vasquez sentido-a-medellin,"Salida Vásquez: 5:10 a. m., Llegada Medellín: 6:15 a. m."
6:30 a. m.,vereda-vasquez sentido-desde-medellin,"Salida Medellín: 6:30 a. m., Llegada Vásquez: 7:35 a. m."
7:00 a. m.,vereda-vasquez sentido-a-medellin,"Salida Vásquez: 7:00 a. m., Llegada Medellín: 8:05 a. m."
5:45 p. m.,vereda-vasquez sentido-desde-medellin,"Salida Medellín: 5:45 p. m., Llegada Vásquez: 6:50 p. m."
6:15 a. m.,vereda-barroblanco sentido-a-medellin,"Salida Barro Blanco: 6:15 a. m., Llegada Medellín: 7:30 a. m."
7:00 a. m.,vereda-barroblanco sentido-desde-medellin,"Salida Medellín: 7:00 a. m., Llegada Barro Blanco: 8:15 a. m."
2:00 p. m.,vereda-barroblanco sentido-a-medellin,"Salida Barro Blanco: 2:00 p. m., Llegada Medellín: 3:15 p. m."
6:30 p. m.,vereda-barroblanco sentido-desde-medellin,"Salida Medellín: 6:30 p. m., Llegada Barro Blanco: 7:45 p. m."
6:30 a. m.,vereda-plan sentido-a-medellin,"Salida El Plan: 6:30 a. m., Llegada Medellín: 7:40 a. m."
8:00 a. m.,vereda-plan sentido-desde-medellin,"Salida Medellín: 8:00 a. m., Llegada El Plan: 9:10 a. m."
3:00 p. m.,vereda-plan sentido-a-medellin,"Salida El Plan: 3:00 p. m., Llegada Medellín: 4:10 p. m."
7:00 p. m.,vereda-plan sentido-desde-medellin,"Salida Medellín: 7:00 p. m., Llegada El Plan: 8:10 p. m."
5:45 a. m.,vereda-perico sentido-a-medellin,"Salida Perico: 5:45 a. m., Llegada Medellín: 6:50 a. m."
9:00 a. m.,vereda-perico sentido-desde-medellin,"Salida Medellín: 9:00 a. m., Llegada Perico: 10:05 a. m."
4:00 p. m.,vereda-perico sentido-a-medellin,"Salida Perico: 4:00 p. m., Llegada Medellín: 5:05 p. m."
6:00 a. m.,vereda-pantanillo sentido-a-medellin,"Salida Pantanillo: 6:00 a. m., Llegada Medellín: 7:10 a. m."
10:00 a. m.,vereda-pantanillo sentido-desde-medellin,"Salida Medellín: 10:00 a. m., Llegada Pantanillo: 11:10 a. m."
5:00 p. m.,vereda-pantanillo sentido-a-medellin,"Salida Pantanillo: 5:00 p. m., Llegada Medellín: 6:10 p. m."
6:45 a. m.,vereda-matazano sentido-a-medellin,"Salida Matazano: 6:45 a. m., Llegada Medellín: 7:55 a. m."
11:00 a. m.,vereda-matazano sentido-desde-medellin,"Salida Medellín: 11:00 a. m., Llegada Matazano: 12:10 p. m."
6:00 p. m.,vereda-matazano sentido-a-medellin,"Salida Matazano: 6:00 p. m., Llegada Medellín: 7:10 p. m."
7:15 a. m.,vereda-mazo sentido-a-medellin,"Salida Mazo: 7:15 a. m., Llegada Medellín: 8:25 a. m."
12:00 p. m.,vereda-mazo sentido-desde-medellin,"Salida Medellín: 12:00 p. m., Llegada Mazo: 1:10 p. m."
7:00 p. m.,vereda-mazo sentido-a-medellin,"Salida Mazo: 7:00 p. m., Llegada Medellín: 8:10 p. m."
8:00 a. m.,vereda-parqueecologico sentido-a-medellin,"Salida Parque Ecológico: 8:00 a. m., Llegada Medellín: 9:00 a. m."
1:00 p. m.,vereda-parqueecologico sentido-desde-medellin,"Salida Medellín: 1:00 p. m., Llegada Parque Ecológico: 2:00 p. m."
7:30 a. m.,vereda-sanignacio sentido-a-medellin,"Salida San Ignacio: 7:30 a. m., Llegada Medellín: 8:45 a. m."
2:30 p. m.,vereda-sanignacio sentido-desde-medellin,"Salida Medellín: 2:30 p. m., Llegada San Ignacio: 3:45 p. m."
